sub,Condition,Event.Nr,CDA.AmpSum,expected_value,pe,scr
sub-189,CSplusUS1,1,0.2852,0.8011753709391218,0.5,0.2852
sub-189,CSminus1,2,0.1033,0.7969391963229127,-0.5,0.1033
sub-189,CSplus1,3,0.0783,0.799046892036008,-0.5013042542146529,0.0783
sub-189,CSplusUS1,4,0.1772,0.8011650528360734,0.5000063028046442,0.1772
sub-189,CSminus1,5,0.0,0.7948315006098133,-0.49869574578534703,0.0
sub-189,CSplus1,6,0.0,0.7990366467535781,-0.5012979953313261,0.0
sub-189,CSplus1,7,0.0,0.7969187050941066,-0.4999874818375848,0.0
sub-189,CSminus1,8,0.0,0.7927341229997661,-0.49739779437533604,0.0
sub-189,CSplusUS1,9,0.2063,0.7990473283178732,0.501316685321637,0.2063
sub-189,CSminus1,10,0.0,0.7906469906721476,-0.49610610184865345,0.0
sub-189,CSplusUS1,11,0.2062,0.8011654851412973,0.5000060420298463,0.2062
sub-189,CSplus1,12,0.127,0.7990370751258916,-0.5012982537615714,0.127
sub-189,CSminus1,13,0.067,0.7885700314702946,-0.49482062467974475,0.067
sub-189,CSplus1,14,0.0,0.7969191295767052,-0.499987737948782,0.0
sub-189,CSminus1,15,0.011,0.7865031738941487,-0.493541319734493,0.011
sub-189,CSminus1,16,0.0,0.7844463470931347,-0.49226814426595267,0.0
sub-189,CSplus1,17,0.1756,0.7948115743371892,-0.49868356849567347,0.1756
sub-189,CSplusUS1,18,0.183,0.7969505105456713,0.5026142989108658,0.183
sub-189,CSminus1,19,0.0865,0.7823994808589306,-0.4910010559101782,0.0865
sub-189,CSplus1,20,0.3701,0.7948427329729728,-0.498702600245354,0.3701
sub-189,CSplus1,21,0.0,0.7927452742663028,-0.49740459997899417,0.0
sub-189,CSminus1,22,0.0,0.7803625056185186,-0.489740012682029,0.0
sub-189,CSplus1,23,0.0,0.7906580615964991,-0.4961128590451273,0.0
sub-189,CSplusUS1,24,0.1691,0.7928171974146518,0.5051726660867745,0.1691
sub-189,CSminus1,25,0.0112,0.7783353524272079,-0.488484972971121,0.0112
sub-189,CSplus1,26,0.0439,0.7907294777899443,-0.49615648987357047,0.0439
sub-189,CSminus1,27,0.0,0.7763179529617777,-0.48723589553772634,0.0
sub-189,CSplus1,28,0.0,0.7886519366536977,-0.4948706617064682,0.0
sub-189,CSplus1,29,0.0,0.78658450244682,-0.49359100892438484,0.0
sub-189,CSminus1,30,0.0,0.7743102395137156,-0.48599273950880495,0.0
sub-189,CSminusUS2,31,0.1891,0.7765483195987481,0.5152445356259324,0.1891
sub-189,CSplus2,32,0.199,0.7845271042603442,-0.4923174887459563,0.199
sub-189,CSminus2,33,0.0109,0.7745389942953306,-0.48613253841135795,0.0109
sub-189,CSminusUS2,34,0.1214,0.7767754771056913,0.5151057006437011,0.1214
sub-189,CSplus2,35,2.0312,0.782479671828421,-0.49105005877323826,2.0312
sub-189,CSminus2,36,4.7297,0.7747645689489735,-0.4862704180741167,4.7297
sub-189,CSplus2,37,3.0971,0.7804421355211418,-0.4897886769875336,3.0971
sub-189,CSminus2,38,4.9472,0.7727633085538426,-0.4850312322075496,4.9472
sub-189,CSminus2,39,3.5705,0.7707716291065705,-0.4837979041007821,3.5705
sub-189,CSplus2,40,3.1016,0.7784144263376482,-0.4885333017452941,3.1016
